 invariant_id,quote_type,quote_value,currency
Z913Y1627,TRDVOL,           7319127.000000,CAD
Z913Y1635,COMPMC,        3495605957.031250,USD
Z913Y1635,PCLOSE,                 8.779999,CAD
Z913Y1635,TOTRET,                 0.013856,CAD
Z913Y1635,TRDVOL,           1554332.000000,CAD
Z913Y1643,COMPMC,       14389136718.750000,USD
Z913Y1643,PCLOSE,                22.690002,CAD
Z913Y1643,TOTRET,                 0.024379,CAD
Z913Y1643,TRDVOL,           7820843.000000,CAD
Z913Y1650,COMPMC,        6976654943.314672,USD
Z913Y1650,PCLOSE,                27.889999,CAD
Z913Y1650,TOTRET,                -0.014835,CAD
Z913Y1650,TRDVOL,            937793.000000,CAD
Z913Y1668,COMPMC,        9635392887.044580,USD
Z913Y1668,PCLOSE,                39.960006,CAD
Z913Y1668,TOTRET,                 0.000250,CAD
Z913Y1668,TRDVOL,           1199418.000000,CAD
Z913Y1676,COMPMC,        4473248511.398602,USD
Z913Y1676,PCLOSE,                 8.619999,CAD
Z913Y1676,TOTRET,                -0.012600,CAD
Z913Y1676,TRDVOL,          10693868.000000,CAD
Z913Y1684,COMPMC,        5650372864.593577,USD
Z913Y1684,PCLOSE,                 3.689999,CAD
Z913Y1684,TOTRET,                 0.027854,CAD
Z913Y1684,TRDVOL,           1566100.000000,CAD
Z913Y16A9,COMPMC,        5880633988.704394,USD
Z913Y16A9,PCLOSE,                51.570007,CAD
Z913Y16A9,TOTRET,                -0.001742,CAD
Z913Y16A9,TRDVOL,            340893.000000,CAD
Z913Y16B7,COMPMC,        4504940812.505805,USD
Z913Y16B7,PCLOSE,                 6.250000,CAD
